,review,produk,packaging,pengiriman
7,"Produk sudah di terima dgn baik, kualitas Mantap",1,0,0
8,Produck bagus kemasan ok banget sampai dipaking kayu,1,1,0
9,Sudah sampai di kalimantan dg selamat. So happy with the quality!,1,0,0
10,Awalnya deg2an n sempat ragu.. Cm setelah barang di cek dan digunakan smpai skrg oke n ori ada kartu garansi imei trdftr .. ada nota pembelian ddlm... Tambah review spy mkin bnyk yg prcaya.... ,1,0,0
11,Response sangat cepat dengan pengiriman juga cepat. Packaging rapi. Barang ori dgn harga bersaing,1,1,1
12,"Barang berfung dengan baik, sesuai iklan speknya. pengiriman cepat sampai.",1,0,1
13,Barang original dan harga lebih murah daripada beli di toko,1,0,0
14,Barang sesuai dengan pesanan. Keren dan cepat dalam pengirimannya,1,0,1
15,"Pengiriman cepat, barang sesuai deskripsi. Terima kasih",1,0,1
16,"Awalnya ragu karna harga lebih murah dr pasaran, tp rating penjual bagus dan review bagus. Ternyata barangnya bagus dan ori ada kartu garansi lengkap plus soft case transparan dalam dus. Thanks",1,1,0
17,Suka belanja di sini... 1 hari sampe.. mantap dah,0,0,1
18,"Barang sdh diterima dgn baik, pengiriman jg cepat terima kasih blibli",0,0,1
19,"Pengiriman sangat cepat, meski tujuan akhir di daerah pelosok hutan luar jawa. Dan produk sesuai iklan. N waktu datang dan sampai d gunakan adalah sip....",1,0,1
20,"Pengiriman cepat, pack rapi, barang ok , tq ya blibli , recomended seller nich harga juga cincayy",1,1,1
21,"Barang ori, garansi resmi..
Harga murah, selisih 250ribu dgn harga toko offline",1,0,0
22,Puas beli lewat seller ini...estimasi pengiriman 2-5 hari..tapi realisasi nya 1hr saya sudah terima paketnya,0,0,1
23,"barang sudah terima dan berfungsi dengan baik, kiriman super cepat...makasih",1,0,1
24,Barang cepat sampai sesuai deskripsi. Belum di tes pakai barangnya jadi belum bisa komen lanjut,1,0,0
25,"pengiriman sangat cepat nunggu barangnya cuma 2 hari aja, produk berfungsi normal",1,0,1
26,Packing rapi sayang cuma pake bubble mofa aja awet,0,1,0
27,Respon merchant yg sgtt cepat.. Dan harganya pun lebih murah  dibandung yg lain. Sampai beli 3x di sini.. Tq blibli dan merchant,0,1,0
28,"Pakai gosend pesan siang, sore udh sampe
Pengiriman nya cepat, hp nya sesuai sm deskripsi tp untuk packing nya msh blm padat
Over all good lah
Thx blibli & gosend ",1,0,1
29,Sudah diterima...packing aman dan rapi...mudah2an tidak ada masalah dan awet...thanks blibli,0,1,0
30,Bagus banget.. elegant. Tapi sayang kurang handsfree nya ga ada dalam box.,-1,0,0
31,Good produck dan pengirimannya cepat 👍 Tq merchant dan blibli,1,0,1
32,"Berfungsi dan diterima dengan baik, pengiriman juga cepat. Terima kasih",1,0,1
33,"Recommended banget beli barang di blibli, pertahankan kecepatan delivery barang dan kemudahan pilihan pembayaran.... 

Utk pilihan klikbca kalau bisa batas waktunya diperpanjang... Jadi 12 jam at least ",0,0,1
34,barang cepet banget sampeny n rapi... lom di test hp ny semoga gak ada keluhan,0,0,1
35,"Barang berfung dengan baik, sesuai iklan speknya. pengiriman cepat sampai",1,0,1
36,"Barang diterima dengan baik, packing ok dan cepat pengiriman",0,1,1
37,Barang diterima dengan baik dan respon seller cepat.. Tks blibli ,0,0,0
38,Barang dipacking sangat aman. Pengiriman cepat sekali. Terimakasih Blibli,0,0,1
39,"Pengiriman cepat. Dos packing sebaiknya diganjal spy tdk longgar
",0,-1,1
40,"Pengiriman baik dan sangat cepat, kondisi produk baik. hanya saran saja untuk kemasan agar di buat lebih aman lagi. thanks",1,-1,1
41,"pengiriman dan kemasan sangat baik, tapi deskripsi produk tolong di perbaiki karena kelengkapan paket ditulis dapat handsfree tapi begitu saya unboxing tidak ada handsfree",-1,1,1
42,"packing sangat aman, kualitas produk sangat baik",1,1,0
43,"Pengiriman cepat , packing rapi, semoga barangx awet..kecewa headset tdk ada di dalam dos",-1,1,1
44,Barang dah datang.  Kok ga ada head setnya? Apa produk ini ga ada head set kah Min? ,-1,0,0
45,"pingiriman sangat cepat, mantap dah,, maju terus buat tokonya.",0,0,1
46,"Pengiriman cepat sesuai jadwal, packing mantap walaupun dikirim pakai gojek tetap dibubble tebal.. recommended seller.. thanks",0,1,1
47,produk sesuai pesanan barang cepat sekali sampainya gak ada cacat kemasan rapih.. mantapp ,1,1,1
48,Barang sudah diterima dengan baik.. semoga awet. Mantap pelayanannya,0,0,0
49,"Pengiriman cepat banget.
Produk segel. Dan warna sesuai pesanan.
Alhamdulillah.
Thanks",1,1,1
50,Produk bagus. Packaging jg bagus. Pengiriman biasa ajah. ,1,1,0
51,"pengiriman cepat dan produk sesuai dengan deskripsi,goodjobs",1,0,1
52,"Barang bagus new masih segel,juos saya pesan ungu dikasih ungu",1,0,0
53,Sangat puas lay produk masih segel pengiriman cepat,0,1,1
0,"order barang ini menggunakan RPX priority agar lebih cepat sampai, tapi setelah 3 hari belum ada no resi pengirimannya. Tetapi order item lainnya menggunakan JNE std lebih dahulu dikirim dan muncul no resi nya. Mudah-mudahan kualitas barangnya tidak mngecewakan, krn sampai skr masih blum diterima.",0,0,-1
1,Snapdragon sy tanya Snapdragon 626 tp sy terima 450 tolong di tukar..,-1,0,0
2,Lama sekali sampenya.jkt mlg masak 7 hari baru sampe.parah blibli.kecewa.,0,0,-1
3,Produk sudah diterima..  Handphonenya bagus tapi headset tidak ada pada box... ,-1,0,0
4,"Pengiriman lambat, dri tgl 9, thl 16 baru nyampe, ampun dah",0,0,-1
5,"Isi dalam paket tidak sesuai. Tidak ada kartu garansi!
Sudah dihubungi customer service dan dikatakan invoice menjadi pengganti kartu garansi.",-1,0,0
6,"Saya kecewa, karena saya pesan warna GOLD tapi dikirim nya warna BLACK tanpa konfirmasi lebih dulu.",-1,0,0
7,"Dus Penyok kayaknya bukan karena pengiriman, tetapi dari penjualnya dikasih dusnya penyok, parah Excellent cell,ga bakal beli disii lagi.",0,-1,0
8,"Pengiraman lama
Kartu garansi tidak ada
Bon pbelian tdk ada",0,-1,-1
9,"Redmi note 5 red 4/64, Proses untuk masuk ke shipment terhitung lama, packing pengiriman baik,tapi setelah datang barang yang saya terima berkemasan repacking ,bagaimana ini? ",0,-1,-1
10,Barang yang datang bukan garansi resmi nyesel beli disini,-1,0,0
11,"Barang yang datang bukan garansi resmi nyesel beli disini, segel rusak",-1,-1,0
12,"Barang dikatakan garansi resmi, tap, bukan garansi resmi ",-1,0,0
13,saya pesan 2 tapi yg dikirim 1. gimana bos?,-1,0,0
14,"Pesanan nyasar gak tau ke siapa, sama sekali belum diterima, sudah lapor ke blibli dan masih d proses katanya",0,0,-1
15,Di sini tertulis internasional. Harusnya dlm bahasa inggris kan?  Barang datang saya buka. Semua dlm bahasa china. Kartu petunjuk dll jg dlm bahasa china. Saya bisa kontak ke mana ini kalo mau hubungi penjual????,-1,0,0
16,"barang sampai dalam keadaan baterai mi band 2 kosong, dan kabel charge tidak berfungsi, model sensor belakang berbeda dengan punya saudara saya yang sama2 mi band 2 (apakah ini barang original?) tolong penjelasannya blibli",-1,0,0
17,"Pertama pakai berjalan baik dan normal, tetapi saat ini terhitung dari 29 maret 2018 smartband saya Mati Total tidak bisa digunakan sama sekali, sudah dicharge juga tidak hidup, Padahal belum ada sebulan dari saya terima barang langsung tanggal 12 maret 2018. Kecewa tapi mau gimana lagi sudah Mati Total dan garansi toko cuman 15 hari.",-1,0,0
18,Kiriman nya lama lebih dari 1 minggi,0,0,-1
19,"Barangnya sudah terbuka segel plastiknya. Dusnya putih, tidak coklat.",0,-1,0
20,"Barang yang datang bukan Garansi TAM !! Padahal judulnya Garansi TAM , Gak ada sticker TAM di packaging.",-1,-1,0
21,"Judul product nya Garansi TAM, tapi yg saya terima tidak ada Garansi TAM",-1,0,0
22,"Udah beli mahal mahal ternyata ada flash salenya yg garansi tam juga harga 200rban,pengiriman LAMA.pas nyampe TIDAK ADA STIKER TAM nya.ga yakin itu garansi tam bukan.",-1,0,-1
23,Paket blm diterima kog bisa terkirim? ??,0,0,-1
24,Judul Garansi Resmi Tam tapi yang dikirim garansi apa ini malah distributor ,-1,0,0
25,"Bagian metal pada stand tidak presisi pembuatannya (terlalu tebal / terlalu besar), sehingga tidak bisa fit in ke body monitor. ",-1,0,0
26,Barang belum terima tetapi tertulis dlm tracking barang 'barang sdh terkirim'. Tidak jelas sistem nya dlm proses jual beli...berhati-hati utk bertransaksi utk lainnya.,0,0,-1
27,"Mengecewakan...

""Order Pesanan tanggal 04 Aug 2018 dan dikirim dengan jasa pengiriman FIR. setelah dicek tanggal 9 Agustus pesanan masin dalam proses.. di cek kembali tanggal 10 tau-tau status pesanan sudah berubah menjadi terkirim dan buruknya lagi mengatas namakan pembeli yang menerima pesanan. padahal pada tanggal tersebut saya tidak kemana2 dan seharian berada di rumah, tidak ada pihak kurir pengiriman satu pun yang datang. trus yang terima barang siapa ????.. moga2 investigasi dari BLIBLI cepat.. dan barang datang, harga barang sih ga seberapa cuma kepercayaan pelanggan aja...",0,0,-1
28,Produk ini entah asli atau tidak. Saya belanja 2 unit dan 2-2nya corrupt ketika saya mau copy data ke dalam. Sayang ya Tidak langsung saya pakai ketika sampai. ,-1,0,0
29,"terima sms jam 21.07 menyatakan barang telah diterima, tp saya belum terima baranqnya dan atas nama penerima tidak saya kenali, langsung tlp cust service untuk di bantu cek dengan nomer laporan 438133032. tolong bisa di bantu follow up..",0,0,-1
30,barang yg dikirim usb 2.0 di iklan usb 3.0,-1,0,0
31,"Kalau di pakai koq overheat ya,  mungkin juga karena barang obral",-1,0,0
32,"Barang yg di kirim salah.. 👎
Tapi pihak blibli cukup tanggap dlm proses return.. 👍 
Saat ini barang pengganti sedang dlm pengiriman, semoga tidak akan salah lagi..",-1,0,0
33,Gmn caranya complaint ya? Barang yg dtg tdk sesuai dgn deskripsi dan gambar,-1,0,0
0,"produk bekerja dengan baik,tapi material kabelnya mencemaskan.saya jadi ga yakin ini barang asli",-1,0,0
1,packing mengecewakan tanpa diberi pengaman..hanya kardus biasa ,0,-1,0
2,Bahaya yaa nggak ada kartu garansi nya 👎,-1,0,0
3,"Beli note 9 , redeem vocher di samsung gift harusnya dapet 1 jt kalau unit baru, tp ternyata gagal krn sudah terdaftar atas nama orang lain, imei atas nama orang lain. Jadi saya kembalikan sesuai saran cs. ",-1,0,0
4,"WD Sudah sampai ke saya, hanya saja tidak ada keterangan garansi WD, padahal setau saya WD ada garansi 3 Th, dan saya pikir produknya bercasing alumunium aloy tetapi casingnya hanya plastik.",-1,0,0
5,"Order 2 unit, untuk seller sekelas erafone mengecewakan. 1 unit dikirim produk repackingan",0,-1,0
6,"barang baik, berfungsi dengan baik, namun segelnya rusak",1,-1,0
7,"ditulisnya garansi resmi, tapi yg dikirim bukan yg garansi tam
tapi barang yg chinese version",-1,0,0
8,Kok udah upgrade firmware dan fairing ttp aja bahasa China bkn bahasa Indonesia atau bahasa inggris,-1,0,0
9,"Barang tidak di segel, sudah terbuka, tadinya buat kado tapi plastik terbuka ga jadi deh,baru kali ini beli di blibli dapet yang bnob bukan bnib",0,-1,0
10,"Packing rapi, barang berfungsi sesuai deskripsi. Tetapi pengiriman lama",1,1,-1
11,Barang tidak sesuai deskripsi karena tertulis garansi TAM tetapi yang diterima tidak ada garansi TAM sama sekali,-1,0,0
12,"Daya tahan bateri sangat kurang, hanya tahan setengah hari
",-1,0,0
13,"Packaging rapi, namun pengisian batere lama dan sulit. Terkadang berhasil di charge, terkadang tidak.",-1,0,0
14,"No seri airpod berbeda dengan kotak.
Cek di coverage apple, utk seri di kotak terdaftar sedangkan seri di AirPod tidak valid.
Tp barang dengan kondisi segel.",-1,0,0
15,"Halo.. saya menerima paket ini tanpa ada item wireless charging support (sebagai penyangga) pada box,
Pengajuan pengembalian barang tidak dapat sy lakukan karena selalu error pada saat upload foto..",-1,0,0
0,"Saya tidak suka pengirimanya terlalu lama dari prepared product sampai pengirimanya totaly 5hari dari pesanan barang,,
Untuk yang lain over all masih bagus",0,0,-1
1,Warnanya agak tosca bukan bener2 putih. Ada cacat produksi kayanya. Krn dibagian busanya mengelupas :(,-1,0,0
2,saya pesan 80cm tapi yang dikirim malah 30cm,-1,0,0
3,Kualitas barang sangat baik. Sayang expedition vendor nya sangat mengecewakan. Barang hampir 2 minggu baru sampe. Padahal masih di jabodetabek.,1,0,-1
4,"brg sdh sampai dan sudah dicoba,,semoga awett",0,0,0
5,Kualitas blm berani koment krn blm tau kedepannya bagus or tdk,0,0,0
6,Kurang memuaskan proses terlalu lama membutuhkan waktu 3 hari.beda sama saya belanja sebelumnya 1 hari udah statusnya d kirim,0,0,-1
7,Agak kecewa sih soalnya beli vivo kok ringnya  oppo ,-1,0,0
8,Respon penjualnya agak lama. Untuk produk diterima dengan baik.,0,0,0
9,Barang cpt smp tp tmn ngeluh ga dpt headsetny n stiker kardusny spt sdh dibuka gitu....,-1,0,0
10,Dikirim ke medan produk diterima dengan kondisi baik,0,0,0
11,"PENGIRIMAN SUPER CEPAT, BARANG BERFUNGSI NORMAL, THX BLIBLI",1,0,1
12,"Produknya bagus. Tapi Pengiriman sangat lama dan packing rapi. Sehingga barang aman sampai di tujuan.
",1,1,-1
13,"berfungsi dengan baik, namun sewaktu digunakan agak panas, entah kenapa, semoga tidak ada fault....baru pertama pake toshiba, biasanya klo wd ato seagate gak gini",1,0,0
14,"pesan 2 buah, pengiriman dilapisi kardus tanpa buble wrap. satu barang saya terima dengan kondisi kemasan rusak/penyok",-1,-1,0
15,"Kualitas sennheiser sih jangan diragukan lagi, cuma pengirimannya aja yg lama.",1,0,-1
16,"Ori tam, no repack cuma packing dus kecil dan koran tanpa bubble, recomeded buat satu kota aja kalau diluar kota JANGAN beli disini penyokk gan ",1,-1,0
17,Pengiriman cepat tapi sayang pas di cek untuk buka sim cardnya tidak ada,-1,0,1
18,barang bagus. tapi packing kurang. tidak dipakaikan bublewrap. hanya kotak dan plastik didlm.,1,-1,0
19,"Seller koplak . Ngirim hp tanpa bubble warp .. cuma kardus...
Mengerikan kalo hpnya rusak",0,-1,0
20,"blom sempat dicoba , moga2 gak ada masalah",0,0,0
21,"Produknya bagus,cm segel nya terbuka saat terima ,jasa pengirimannya lama",1,-1,-1
22,"Barang bagus tapi kenapa saya dapatnya yang matte black padahal saya pesan yang matte black, cukup kecewa",-1,0,0
23,"Barang sampai lebih cepat dari perkiraan, masih dicoba. Jadi belum bisa kasih bintang banyak",0,0,1
24,"barang ok,
ongkir ok,
kurir ga ok, masa di minta 5rb di rmh?
mau nipu?",1,0,-1
25,"Secara fungsi tidak ada masalah,
Hanya display saja yg mati. 
Tapi saya yakin kalo belinya di Blibli produk yg bermasalah mudah untuk ditukar dengan yg baru. ",-1,0,0
26,Kenapa kok layarnya tidak seterang mi band yang lainnya,-1,0,0
27,Pengirimannya cepat dan barangnya juga bagus. Tp ini garansinya berupa kartu atau apa ya? Karena di boxnya cuma ada manual aja.,1,0,1
28,barang baru sayang segel di box telah dibuka oleh penjual,0,-1,0
29,"Respon cepat, barang ori sayang packing kurang tebal....cm pake bubble wrap 1 lapis n bungkus kertas...jd kotak ada yg penyok.
Untung mi band 3 gapapa...setelah full charge, langsung konek ke mi fit... langsung update firmware otomatis...trus jadi deh mi fit bhs Inggris....😁😁😁👍👍
Thx Blibli.",1,-1,0
30,"sudah sampai, packing aman diberi bulb.
mi band dalam kondisi mati, baterai habis
butuh waktu setengah hari buat ngecas spy mi band ngerespon dan hidup.
mudahan awet",-1,1,0
31,Pengiriman lamaa.. seperti ya kesalahan Kurirnya. Barang sih oke.,1,0,-1
32,"Barang sesuai pesenan, nyampek sesuai estimasi & cepet. 😅",1,0,1
33,pembelian ke 3...brg bagus tp kemarin saya dpt yg baterainya drop...dlm proses retur..semoga yg lainnya dpt bagus2 ya...,-1,0,0
34,"packing nggak aman, cuma ditambah plastik biasa doang.",0,-1,0
35,"Sudah saya pakai selama 2 bln dan barang masih bagus. 
Saya beli pas harga lumayan murah hampir sama saat akan beli di pameran. 
Pengantaran pakai go-send harusnya bisa diterima di hari yg sama saat order (1 day service) namun baru sampai saya terima dalam 2 hari. 
Kartu garansi juga tidak ada.",1,0,-1
36,"Barang sesuai tapi packingnya kurang, hanya memakai dus saja tanpa bubble wrap dan barang yang saya terima terdapat beberapa death pixel. Untung saja bisa langsung di garansikan.",-1,-1,0
37,"tadinya sempet takut kenapa kenapa karena tidak di packing kayu . Tpi alhamdulilah selamat sampai tujuan dan aman 
Terima kasih",0,-1,0
38,Barang sudah sampe tp tidak lengkap tidak ada remote,-1,0,0
39,butuh 4 5 hari untuk menyiapkan barang dikirim.,0,0,-1
40,"Pengiriman lama bgt, pesan tgl 20 mlm, tgl 21 itu libur.. ok la, tgl 22, 23 hrusnya bs di proses. Tp tgl 24 bru input resi, ffs. Tpi plg ga brg ok ga masalah, pake hdmi ttp bs FS tnp bios bugs",1,0,-1
41,"Barang sebenernya dikirimkan dengan baik dan berfungsi, namun data yang tertulis pada deskripsi salah banget. Pada laman deskripsi tertulis USB 3.0 padahal ternyata yang dikirimkan adalah USB 2.0. Jadi dikecewakan di bagian itu...",-1,0,0
42,Sempat gak bisa dikenal. Tapi bisa dikenal saat di kompi lain. ,-1,0,0
43,"Di nama produk tertulis USB 3.0, di fitur produk tertulis 2.0. Yang benar 2.0 Bukan 3.0. Harusnya bisa 5 bintang, tapi jadi 3 bintang aja deh.",-1,0,0
44,"pengiriman cukup lama,
barang sesuai pesanan. thanks..",1,0,-1
0,"Keren dah JBL, Recomended..Thx blibli.com pesan kemarin hari ini sudah terima barangnya... Mantap",1,0,1
1,"Pertama belanja di blibli...overall ok
..packing bagus...pengiriman cepat...sebagai tester it's ok.",0,1,1
2,mantap barang sampai dengan selamat. packingnya oke.,0,1,0
3,"Baru kemarin order, besok malamnya udah nyampe plus packagingnya rapi",0,1,1
4,"Barang sampai dengan selamat, packing rapih dan aman, untuk kualitas tidak diragukan karna asli dari jbl",1,1,0
5,Bagus banget dapet bag kecil dan sehari sampai,1,0,1
6,Barang original kualitas Bose. recomendeed buat runner,1,0,0
7,"Nyaman dipakai, kualitas suara bagus, 10/10, terimakasih :)",1,0,0
8,Suara bass mantap....kualitas ok. Hanya suara vocal kebanting dengan bassnya,1,0,0
