"review","rating","produk","packaging","pengiriman","general"
"Respon cepat, barang ori sayang packing kurang tebal....cm pake bubble wrap 1 lapis n bungkus kertas...jd kotak ada yg penyok.
Untung mi band 3 gapapa...setelah full charge, langsung konek ke mi fit... langsung update firmware otomatis...trus jadi deh mi fit bhs Inggris....😁😁😁👍👍
Thx Blibli.","3",1,-1,0,0
"sudah sampai, packing aman diberi bulb.
mi band dalam kondisi mati, baterai habis
butuh waktu setengah hari buat ngecas spy mi band ngerespon dan hidup.
mudahan awet","3",-1,1,0,0
"Pengiriman lamaa.. seperti ya kesalahan Kurirnya. Barang sih oke.","3",1,0,-1,0
"Barang sesuai pesenan, nyampek sesuai estimasi & cepet. 😅","3",1,0,1,0
"pembelian ke 3...brg bagus tp kemarin saya dpt yg baterainya drop...dlm proses retur..semoga yg lainnya dpt bagus2 ya...","3",-1,0,0,0
"packing nggak aman, cuma ditambah plastik biasa doang.","3",0,-1,0,0
"Sudah saya pakai selama 2 bln dan barang masih bagus. 
Saya beli pas harga lumayan murah hampir sama saat akan beli di pameran. 
Pengantaran pakai go-send harusnya bisa diterima di hari yg sama saat order (1 day service) namun baru sampai saya terima dalam 2 hari. 
Kartu garansi juga tidak ada.","3",1,0,-1,0
"Barang sesuai tapi packingnya kurang, hanya memakai dus saja tanpa bubble wrap dan barang yang saya terima terdapat beberapa death pixel. Untung saja bisa langsung di garansikan.","3",-1,-1,0,0
"tadinya sempet takut kenapa kenapa karena tidak di packing kayu . Tpi alhamdulilah selamat sampai tujuan dan aman 
Terima kasih","3",0,-1,0,0
"Barang sudah sampe tp tidak lengkap tidak ada remote","3",-1,0,0,0
"butuh 4 5 hari untuk menyiapkan barang dikirim.","3",0,0,-1,0
"Pengiriman lama bgt, pesan tgl 20 mlm, tgl 21 itu libur.. ok la, tgl 22, 23 hrusnya bs di proses. Tp tgl 24 bru input resi, ffs. Tpi plg ga brg ok ga masalah, pake hdmi ttp bs FS tnp bios bugs","3",1,0,-1,0
"Barang sebenernya dikirimkan dengan baik dan berfungsi, namun data yang tertulis pada deskripsi salah banget. Pada laman deskripsi tertulis USB 3.0 padahal ternyata yang dikirimkan adalah USB 2.0. Jadi dikecewakan di bagian itu...","3",-1,0,0,0
"Sempat gak bisa dikenal. Tapi bisa dikenal saat di kompi lain. ","3",-1,0,0,0
"Di nama produk tertulis USB 3.0, di fitur produk tertulis 2.0. Yang benar 2.0 Bukan 3.0. Harusnya bisa 5 bintang, tapi jadi 3 bintang aja deh.","3",-1,0,0,0
"pengiriman cukup lama,
barang sesuai pesanan. thanks..","3",1,0,-1,0
